company,assessment_date,institution_type,pcaf_part,criterion,score,max_score,percentage,evidence,priority,gap_description,assessor_notes
Allianz,2024-12-31,Insurance,Part A,Data Quality Score,4,5,80.0,Average PCAF® DQS: 2.00/5,Low,Good level – target DQS <2 for level 5,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part A,Attribution Methodology,4,5,80.0,"Full PCAF® methods (signatory), annual updates",Low,Enhance with sector-specific improvements,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part A,Portfolio Coverage,3,5,60.0,"2024 Report: percentages identified (50%, 100%) relate to financed emission intensity reduction targets (-50% by 2030 vs 2019 baseline), not the PCAF® calculation portfolio coverage rate. Coverage rate not explicitly disclosed.",Low,Disclose exact PCAF® portfolio coverage rate,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,"6.75/8 branch coefficient coverage (84%) – Comm.Lines 1/5, Motor 4/5, Re 2/5",Low,Extend to all 4 insurance branches,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part C,Attribution Methodology,2,5,40.0,ITV method applied,Medium,Full PCAF® Part C alignment,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Allianz,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Reduce uncertainty range in Scope 3 financed emissions
Amundi,2024-12-31,Asset Manager,Part A,Asset Class Coverage,3,5,60.0,10.5/18 weighted asset class coefficient coverage (58.3%),Medium,Extend coverage to missing asset classes and include S3 emissions,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part A,Attribution Methodology,0,5,0.0,No attribution methodology disclosed,Critical,No PCAF® methodology,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part A,Portfolio Coverage,0,5,0.0,"2024 Report: Amundi does not publish financed emissions under the PCAF® standard (Scope 3, Category 15). Emissions data is reported via other frameworks (SFDR, Article 29 LEC) without an explicit PCAF® portfolio coverage rate.",Medium,Coverage data not disclosed,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part A,Temporal Coverage,0,3,0.0,No historical financed emissions data,Low,Extend to 3 years + projections for maximum score,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part C,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not an insurer/reinsurer),N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part C,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
Amundi,2024-12-31,Asset Manager,Part C,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Adopt PCAF methodology and calculate financed emissions
ASR Nederland,2024-12-31,Insurance,Part A,Asset Class Coverage,4,5,80.0,15.0/18 weighted asset class coefficient coverage (83.3%),Low,Extend coverage to missing asset classes and include S3 emissions,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part A,Data Quality Score,1,5,20.0,Average PCAF® DQS: 5.00/5,High,Improve DQS toward <2.5,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part A,Attribution Methodology,3,5,60.0,PCAF®-aligned methods per asset class,Low,Enhance with sector-specific improvements,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part A,Portfolio Coverage,5,5,100.0,"99% – 2024 Report: ""representing 99%"" – near-full coverage of the investment portfolio in the financed emissions calculation.",Low,Good coverage,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,"6.75/8 branch coefficient coverage (84%) – Comm.Lines 2/5, Motor 5/5, Re 1/5",Low,Extend to all 4 insurance branches,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part C,Attribution Methodology,3,5,60.0,PCAF® insurance attribution applied,Low,Add risk-adjusted refinements,Priority 3: Continue improving data quality across asset classes
ASR Nederland,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Continue improving data quality across asset classes
Aviva,2024-12-31,Insurance,Part A,Asset Class Coverage,3,5,60.0,11.5/18 weighted asset class coefficient coverage (63.9%),Medium,Extend coverage to missing asset classes and include S3 emissions,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part A,Data Quality Score,5,5,100.0,Average PCAF® DQS: 1.00/5,Low,Good level – target DQS <2 for level 5,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part A,Attribution Methodology,4,5,80.0,"Full PCAF® methods (signatory), annual updates",Low,Enhance with sector-specific improvements,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part A,Portfolio Coverage,4,5,80.0,"95% – 2024 Report: ""coverage has increased to 95% (2023: 87%)"" – investment portfolio coverage in the financed emissions calculation.",Low,Good coverage,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part C,Asset Class Coverage,1,5,20.0,"0.75/8 branch coefficient coverage (9%) – Comm.Lines 0/5, Motor 0/5, Re 1/5",High,Extend to all 4 insurance branches,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part C,Attribution Methodology,0,5,0.0,No insurance attribution,Critical,Develop ITV methodology,Priority 3: Extend coverage to all insurance lines
Aviva,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Extend coverage to all insurance lines
AXA,2024-12-31,Insurance,Part A,Asset Class Coverage,4,5,80.0,16.0/18 weighted asset class coefficient coverage (88.9%),Low,Extend coverage to missing asset classes and include S3 emissions,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part A,Data Quality Score,4,5,80.0,Average PCAF® DQS: 2.00/5,Low,Good level – target DQS <2 for level 5,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part A,Attribution Methodology,3,5,60.0,PCAF®-aligned methods per asset class,Low,Enhance with sector-specific improvements,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part A,Portfolio Coverage,4,5,80.0,"87% – 2024 Report: ""coverage rate stands at 86.9% of the in-scope assets"" – coverage rate of in-scope assets for the financed emissions calculation.",Low,Good coverage,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part C,Asset Class Coverage,4,5,80.0,"6.75/8 branch coefficient coverage (84%) – Comm.Lines 4/5, Motor 3/5, Re 1/5",Low,Extend to all 4 insurance branches,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part C,Attribution Methodology,3,5,60.0,PCAF® insurance attribution applied,Low,Add risk-adjusted refinements,Priority 3: Improve Part C insurance-associated emissions coverage
AXA,2024-12-31,Insurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Improve Part C insurance-associated emissions coverage
Commerzbank,2024-12-31,Bank,Part A,Asset Class Coverage,5,5,100.0,18/18 coefficient coverage (100%) – full coverage of all asset classes including sovereign debt S3 (consumption-based),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part A,Data Quality Score,3,5,60.0,Average DQS ~4.05 across asset classes,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part A,Attribution Methodology,4,5,80.0,Full PCAF methods per asset class (PCAF signatory),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part A,Portfolio Coverage,2,5,40.0,~54% portfolio coverage,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part A,Temporal Coverage,1,3,33.3,Current year + 1 prior year (2 years),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part B,Asset Class Coverage,0,5,0.0,No facilitated emissions data published,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part B,Attribution Methodology,0,5,0.0,No facilitated emissions attribution disclosed,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part B,Temporal Coverage,0,3,0.0,No historical facilitated emissions data,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part C,Asset Class Coverage,3,5,60.0,"Insurance-related emissions published within financed emissions (Scopes 1, 2 and 3) but no breakdown by insurance branch – 50% coverage estimated (4/8 coefficient)",—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part C,Attribution Methodology,0,5,0.0,No insurance-specific attribution methodology disclosed,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Part C,Temporal Coverage,0,3,0.0,No dedicated historical series for insurance-associated emissions,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Part A,Asset Class Coverage,3,5,60.0,10.5/18 weighted asset class coefficient coverage (58.3%),Medium,Extend coverage to missing asset classes and include S3 emissions,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part A,Attribution Methodology,2,5,40.0,PCAF® methodology referenced,High,Incomplete methodology,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part A,Portfolio Coverage,1,5,20.0,"2024 Report: no portfolio coverage data for the PCAF® financed emissions calculation (Scope 3, Cat. 15) found in the 2024 sustainability report.",Medium,Disclose exact PCAF® portfolio coverage rate,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part A,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to 3 years + projections for maximum score,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part B,Asset Class Coverage,1,5,20.0,Facilitated emissions composite 1/5 → ~20% Part B asset class coverage,High,Extend Part B to all 5 asset classes,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part B,Attribution Methodology,1,5,20.0,Basic allocation,Medium,Adopt PCAF® time-based attribution,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part B,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part C,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not an insurer/reinsurer),N/A,N/A,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part C,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Consolidate financed emissions across all portfolios
Crédit Agricole,2024-12-31,Bank,Part C,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Consolidate financed emissions across all portfolios
Deutsche Börse,2024-12-31,Exchange,Part A,Asset Class Coverage,4,5,80.0,13.0/18 weighted asset class coefficient coverage (72.2%),Low,Extend coverage to missing asset classes and include S3 emissions,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part A,Attribution Methodology,1,5,20.0,Basic estimation without documented PCAF® methodology,Critical,Incomplete methodology,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part A,Portfolio Coverage,0,5,0.0,"2024 Report: Deutsche Börse does not calculate PCAF® financed emissions (Scope 3, Cat. 15). Percentages identified (100%, 38%) relate to EU Green Taxonomy eligible activities, unrelated to a PCAF® portfolio coverage rate.",Medium,Coverage data not disclosed,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part A,Temporal Coverage,2,3,66.7,2–3 years of history + trends,Low,Extend to 3 years + projections for maximum score,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part C,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not an insurer/reinsurer),N/A,N/A,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part C,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Join PCAF and implement full methodology
Deutsche Börse,2024-12-31,Exchange,Part C,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 1: Join PCAF and implement full methodology
Eurazeo,2024-12-31,Asset Manager,Part A,Asset Class Coverage,1,5,20.0,6.5/18 weighted asset class coefficient coverage (36.1%),Critical,Extend coverage to missing asset classes and include S3 emissions,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part A,Attribution Methodology,3,5,60.0,PCAF®-aligned methods per asset class,Low,Enhance with sector-specific improvements,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part A,Portfolio Coverage,1,5,20.0,"2024 Report: no PCAF® financed emissions portfolio coverage rate (Scope 3, Cat. 15) found in the sustainability report.",Medium,Disclose exact PCAF® portfolio coverage rate,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part C,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not an insurer/reinsurer),N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part C,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
Eurazeo,2024-12-31,Asset Manager,Part C,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 3: Add explicit Data Quality Scores per PCAF guidance
GBL,2024-12-31,Investment Holding,Part A,Asset Class Coverage,4,5,80.0,15.0/18 weighted asset class coefficient coverage (83.3%),Low,Extend coverage to missing asset classes and include S3 emissions,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part A,Attribution Methodology,2,5,40.0,"Documented methods, partial asset class coverage",High,Incomplete methodology,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part A,Portfolio Coverage,1,5,20.0,2024 Report: GBL does not publish a PCAF® portfolio coverage rate. Financed emissions data is partial and not accompanied by an explicit coverage rate.,Medium,Disclose exact PCAF® portfolio coverage rate,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part A,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to 3 years + projections for maximum score,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part B,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not a bank/bancassurance institution),N/A,N/A,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part B,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part B,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part C,Asset Class Coverage,N/A,N/A,,N/A – not applicable (not an insurer/reinsurer),N/A,N/A,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part C,Attribution Methodology,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Report total portfolio financed emissions
GBL,2024-12-31,Investment Holding,Part C,Temporal Coverage,N/A,N/A,,N/A – not applicable,N/A,N/A,Priority 2: Report total portfolio financed emissions
KBC,2024-12-31,Bancassurance,Part A,Asset Class Coverage,5,5,100.0,18.0/18 weighted asset class coefficient coverage (100.0%),Low,Full coverage,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part A,Data Quality Score,0,5,0.0,PCAF® data quality score not disclosed,High,Implement and disclose PCAF® DQS,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part A,Attribution Methodology,4,5,80.0,"Full PCAF® methods (signatory), annual updates",Low,Enhance with sector-specific improvements,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part A,Portfolio Coverage,4,5,80.0,"92% – 2024 Report: ""92% of assets"" – asset portfolio coverage in the financed emissions calculation.",Low,Good coverage,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part A,Temporal Coverage,3,3,100.0,3+ years of history with trends and projections,Low,Good temporal coverage,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part B,Asset Class Coverage,4,5,80.0,Facilitated emissions composite 4/5 → ~80% Part B asset class coverage,Low,Extend Part B to all 5 asset classes,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part B,Attribution Methodology,4,5,80.0,Comprehensive attribution with quality scores,Low,Continue improving,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part B,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part C,Asset Class Coverage,4,5,80.0,"6.75/8 branch coefficient coverage (84%) – Comm.Lines 3/5, Motor 3/5, Re 1/5",Low,Extend to all 4 insurance branches,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part C,Attribution Methodology,2,5,40.0,ITV method applied,Medium,Full PCAF® Part C alignment,Priority 3: Add explicit DQS per asset class
KBC,2024-12-31,Bancassurance,Part C,Temporal Coverage,1,3,33.3,Current year only,Low,Extend to multi-year reporting,Priority 3: Add explicit DQS per asset class
Legal & General,2024-12-31,Insurance,Part A,Asset Class Coverage,5,5,100.0,16.5/18 weighted asset class coefficient coverage (91.7%),Low,Full coverage,Priority 2: Report absolute financed emissions alongside intensity
Legal & General,2024-12-31,Insurance,Part A,Data Quality Score,4,5,80.0,Average PCAF® DQS: 2.00/5,Low,Good level – target DQS <2 for level 5,Priority 2: Report absolute financed emissions alongside intensity
Legal & General,2024-12-31,Insurance,Part A,Attribution Methodology,2,5,40.0,PCAF® methodology referenced,High,Incomplete methodology,Priority 2: Report absolute financed emissions alongside intensity
