"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"turnover",12,554971,76.93442,9.01132,7.785
"normalise",2,47954,12.82240,0.77865,7.771
"practicable",3,98910,19.23360,1.60605,7.764
"LPS",2,48089,12.82240,0.78084,7.762
"Cash",7,302681,44.87841,4.91477,7.757
"boiler",9,404833,57.70081,6.57346,7.751
"follow-on",2,48354,12.82240,0.78515,7.743
"consume",31,1527710,198.74725,24.80613,7.740
"option",241,12249603,1545.09961,198.90240,7.734
"Va",2,48971,12.82240,0.79516,7.700
"value",343,17551836,2199.04224,284.99719,7.693
"state-owned",4,152058,25.64481,2.46904,7.681
"coverage",57,2889383,365.43851,46.91623,7.647
"requirement",151,7794196,968.09143,126.55792,7.597
"general-purpose",2,50467,12.82240,0.81946,7.597
"reasonableness",2,51846,12.82240,0.84185,7.505
"remit",4,157475,25.64481,2.55699,7.491
"subdivide",3,105637,19.23360,1.71528,7.452
"client",158,8321073,1012.96985,135.11307,7.449
"measure",184,9731815,1179.66113,158.01993,7.425
"Intenistyvt",1,0,6.41120,0.00000,7.411
"tCO22",1,0,6.41120,0.00000,7.411
"table63",1,0,6.41120,0.00000,7.411
"treatyspecific",1,0,6.41120,0.00000,7.411
"Travelledv",1,0,6.41120,0.00000,7.411
"CAFCorporate",1,0,6.41120,0.00000,7.411
"debt225",1,0,6.41120,0.00000,7.411
"threshold59",1,0,6.41120,0.00000,7.411
"debt34",1,0,6.41120,0.00000,7.411
"TCFD-recommended",1,0,6.41120,0.00000,7.411
"verified32",1,0,6.41120,0.00000,7.411
"inventories22",1,0,6.41120,0.00000,7.411
"WIOD55",1,0,6.41120,0.00000,7.411
"unverified111",1,0,6.41120,0.00000,7.411
"Database230",1,0,6.41120,0.00000,7.411
"equity107",1,0,6.41120,0.00000,7.411
"factors135",1,0,6.41120,0.00000,7.411
"SubSovereign",1,0,6.41120,0.00000,7.411
"organization38and",1,0,6.41120,0.00000,7.411
"unverified33",1,0,6.41120,0.00000,7.411
"unverified51",1,0,6.41120,0.00000,7.411
"equityp",1,0,6.41120,0.00000,7.411
"valueproject",1,0,6.41120,0.00000,7.411
"revenue117",1,0,6.41120,0.00000,7.411
"vehiclesc",1,0,6.41120,0.00000,7.411
"equityc",1,0,6.41120,0.00000,7.411
"verified110",1,0,6.41120,0.00000,7.411
"WACI13",1,0,6.41120,0.00000,7.411
"CRE-secured",1,0,6.41120,0.00000,7.411
"Disclosure36",1,0,6.41120,0.00000,7.411
"companies90",1,0,6.41120,0.00000,7.411
"Intensitys",1,0,6.41120,0.00000,7.411
"traveledr",1,0,6.41120,0.00000,7.411
"verified50",1,0,6.41120,0.00000,7.411
"xFEPooli",1,0,6.41120,0.00000,7.411
"factors115",1,0,6.41120,0.00000,7.411
"factors127",1,0,6.41120,0.00000,7.411
"factors128",1,0,6.41120,0.00000,7.411
"factors136",1,0,6.41120,0.00000,7.411
"factors221",1,0,6.41120,0.00000,7.411
"sector212",1,0,6.41120,0.00000,7.411
"research69",1,0,6.41120,0.00000,7.411
"XTOTAL",1,0,6.41120,0.00000,7.411
"revenue88",1,0,6.41120,0.00000,7.411
"debt78",1,0,6.41120,0.00000,7.411
"clientreported",1,0,6.41120,0.00000,7.411
"Revenuep",1,0,6.41120,0.00000,7.411
"removalsp",1,0,6.41120,0.00000,7.411
"follows48",1,0,6.41120,0.00000,7.411
"IPCC50",1,0,6.41120,0.00000,7.411
"structure163",1,0,6.41120,0.00000,7.411
"standard28",1,0,6.41120,0.00000,7.411
"unverified50",1,0,6.41120,0.00000,7.411
"UNFCCC178",1,0,6.41120,0.00000,7.411
"emissions87",1,0,6.41120,0.00000,7.411
"several39",1,0,6.41120,0.00000,7.411
"ghgprotocol.org/sites/default/files/standards/ghg-protocol-revised.pdf",1,0,6.41120,0.00000,7.411
"Emissions''10",1,0,6.41120,0.00000,7.411
"EmissionsPortfolio",1,0,6.41120,0.00000,7.411
"Handbook-Harmonized-Framework-for-Impact-Reporting-December2020-151220",1,0,6.41120,0.00000,7.411
"developments133",1,0,6.41120,0.00000,7.411
"ecoinvent48",1,0,6.41120,0.00000,7.411
"model145",1,0,6.41120,0.00000,7.411
"debt165",1,0,6.41120,0.00000,7.411
"Emissionscollaterali",1,0,6.41120,0.00000,7.411
"amontp",1,0,6.41120,0.00000,7.411
"Bohovyk",1,0,6.41120,0.00000,7.411
"and_finance",1,0,6.41120,0.00000,7.411
"Premiumc",1,0,6.41120,0.00000,7.411
"gementeen",1,0,6.41120,0.00000,7.411
"Measurement-ProtocolLo-Res_FINAL_0",1,0,6.41120,0.00000,7.411
"Standard''12",1,0,6.41120,0.00000,7.411
"costPortfolio",1,0,6.41120,0.00000,7.411
"sector224",1,0,6.41120,0.00000,7.411
"vehicleunspecific",1,0,6.41120,0.00000,7.411
"institution198",1,0,6.41120,0.00000,7.411
"equity86",1,0,6.41120,0.00000,7.411
"factors138",1,0,6.41120,0.00000,7.411
"insurance100",1,0,6.41120,0.00000,7.411
"sectors91",1,0,6.41120,0.00000,7.411
"intensity55",1,0,6.41120,0.00000,7.411
"repayments105",1,0,6.41120,0.00000,7.411
"investee74",1,0,6.41120,0.00000,7.411
"PopDeali",1,0,6.41120,0.00000,7.411
"organization199",1,0,6.41120,0.00000,7.411
"issuerlevel",1,0,6.41120,0.00000,7.411
"equity37",1,0,6.41120,0.00000,7.411
"FAO52",1,0,6.41120,0.00000,7.411
"Intensityf",1,0,6.41120,0.00000,7.411
"FEPoP",1,0,6.41120,0.00000,7.411
"FEdeal",1,0,6.41120,0.00000,7.411
"intensity72",1,0,6.41120,0.00000,7.411
"type148",1,0,6.41120,0.00000,7.411
"FEloan",1,0,6.41120,0.00000,7.411
"segmentsspecific",1,0,6.41120,0.00000,7.411
"Organizationbased",1,0,6.41120,0.00000,7.411
"Productionp",1,0,6.41120,0.00000,7.411
"IFITWG_Methodological_approach_to_common_",1,0,6.41120,0.00000,7.411
"lines78",1,0,6.41120,0.00000,7.411
"verified49",1,0,6.41120,0.00000,7.411
"Consumptionv",1,0,6.41120,0.00000,7.411
"factors126",1,0,6.41120,0.00000,7.411
"percentagesector",1,0,6.41120,0.00000,7.411
"Protocol188",1,0,6.41120,0.00000,7.411
"bonds30",1,0,6.41120,0.00000,7.411
"PPP223Outstanding",1,0,6.41120,0.00000,7.411
"InsuranceAssociated",1,0,6.41120,0.00000,7.411
"Unveified",1,0,6.41120,0.00000,7.411
"megawattsourcehour",1,0,6.41120,0.00000,7.411
"sector227",1,0,6.41120,0.00000,7.411
"metrics34",1,0,6.41120,0.00000,7.411
"metrics12",1,0,6.41120,0.00000,7.411
"Intensityvt",1,0,6.41120,0.00000,7.411
"Nominl",1,0,6.41120,0.00000,7.411
"YTOTAL",1,0,6.41120,0.00000,7.411
"mismatch84",1,0,6.41120,0.00000,7.411
"threshold186",1,0,6.41120,0.00000,7.411
"motors141",1,0,6.41120,0.00000,7.411
"parent-company-reported",1,0,6.41120,0.00000,7.411
"activity53",1,0,6.41120,0.00000,7.411
"bonds201",1,0,6.41120,0.00000,7.411
"FEtranche",1,0,6.41120,0.00000,7.411
"PremiumPortfolio",1,0,6.41120,0.00000,7.411
"Vehiclesr",1,0,6.41120,0.00000,7.411
"Procedure157",1,0,6.41120,0.00000,7.411
"BB_INDUSTRY_SUBGROUP",1,0,6.41120,0.00000,7.411
"intensity83",1,0,6.41120,0.00000,7.411
"Intenistyva",1,0,6.41120,0.00000,7.411
"revenue55",1,0,6.41120,0.00000,7.411
"equity40",1,0,6.41120,0.00000,7.411
"equity31",1,0,6.41120,0.00000,7.411
"only103",1,0,6.41120,0.00000,7.411
"Protocol60",1,0,6.41120,0.00000,7.411
"origiantionv",1,0,6.41120,0.00000,7.411
"originationp",1,0,6.41120,0.00000,7.411
"Roadmap159",1,0,6.41120,0.00000,7.411
"Green-Bonds",1,0,6.41120,0.00000,7.411
"company196",1,0,6.41120,0.00000,7.411
"GTAP54",1,0,6.41120,0.00000,7.411
"carbonaccountingfinancials.com/files/downloads/1911-pcaf-report-nl.pdf?6253ce57ac",1,0,6.41120,0.00000,7.411
"sector206",1,0,6.41120,0.00000,7.411
"CAFBusiness",1,0,6.41120,0.00000,7.411
"standard27",1,0,6.41120,0.00000,7.411
"Countryaverage",1,0,6.41120,0.00000,7.411
"sharesp",1,0,6.41120,0.00000,7.411
"cedents",1,0,6.41120,0.00000,7.411
"climatewatchdata",1,0,6.41120,0.00000,7.411
"ZTOTAL",1,0,6.41120,0.00000,7.411
"Estiated",1,0,6.41120,0.00000,7.411
"institutionp",1,0,6.41120,0.00000,7.411
"treaties81",1,0,6.41120,0.00000,7.411
"Emissions47",1,0,6.41120,0.00000,7.411
"Protocol20",1,0,6.41120,0.00000,7.411
"equity164",1,0,6.41120,0.00000,7.411
"construction-emission-only",1,0,6.41120,0.00000,7.411
"Emissionswhole",1,0,6.41120,0.00000,7.411
"production116",1,0,6.41120,0.00000,7.411
"EVICi",1,0,6.41120,0.00000,7.411
"GDP229",1,0,6.41120,0.00000,7.411
"pcaf-report-2019",1,0,6.41120,0.00000,7.411
"labels139",1,0,6.41120,0.00000,7.411
"emissions197",1,0,6.41120,0.00000,7.411
"PWri",1,0,6.41120,0.00000,7.411
"LoB31",1,0,6.41120,0.00000,7.411
"labels129",1,0,6.41120,0.00000,7.411
"FEpool",1,0,6.41120,0.00000,7.411
"Travelledvt",1,0,6.41120,0.00000,7.411
"arrangement80",1,0,6.41120,0.00000,7.411
"data82",1,0,6.41120,0.00000,7.411
"credits17",1,0,6.41120,0.00000,7.411
"database137",1,0,6.41120,0.00000,7.411
"IAEPolicy",1,0,6.41120,0.00000,7.411
"lines92",1,0,6.41120,0.00000,7.411
"Standard''8",1,0,6.41120,0.00000,7.411
"debt108",1,0,6.41120,0.00000,7.411
"debt32",1,0,6.41120,0.00000,7.411
"verified82",1,0,6.41120,0.00000,7.411
"Alliance19",1,0,6.41120,0.00000,7.411
"above228",1,0,6.41120,0.00000,7.411
"EXIOBASE53",1,0,6.41120,0.00000,7.411
"Description88",1,0,6.41120,0.00000,7.411
"debt174",1,0,6.41120,0.00000,7.411
"sector68",1,0,6.41120,0.00000,7.411
"sector217",1,0,6.41120,0.00000,7.411
"PPPadjustment",1,0,6.41120,0.00000,7.411
"CAFcollaterali",1,0,6.41120,0.00000,7.411
"several140",1,0,6.41120,0.00000,7.411
"Sector-average",1,0,6.41120,0.00000,7.411
"unverified83",1,0,6.41120,0.00000,7.411
"significantly191",1,0,6.41120,0.00000,7.411
"equity35",1,0,6.41120,0.00000,7.411
"equity207",1,0,6.41120,0.00000,7.411
"weighting42",1,0,6.41120,0.00000,7.411
"sourcemegawatt",1,0,6.41120,0.00000,7.411
"Disclosure47",1,0,6.41120,0.00000,7.411
"Standard''20",1,0,6.41120,0.00000,7.411
"GEMIS51",1,0,6.41120,0.00000,7.411
"Disclosure80",1,0,6.41120,0.00000,7.411
"FEInvestment",1,0,6.41120,0.00000,7.411
"EVICb",1,0,6.41120,0.00000,7.411
"PPP226",1,0,6.41120,0.00000,7.411
"structure170",1,0,6.41120,0.00000,7.411
"Intensityva",1,0,6.41120,0.00000,7.411
"subcontin",1,0,6.41120,0.00000,7.411
"developments123",1,0,6.41120,0.00000,7.411
"Defra49",1,0,6.41120,0.00000,7.411
"Insuranceassociated",1,0,6.41120,0.00000,7.411
"threshold86",1,0,6.41120,0.00000,7.411
"nonsupplier-specific",1,0,6.41120,0.00000,7.411
"traveledl",1,0,6.41120,0.00000,7.411
"known40",1,1,6.41120,0.00002,7.411
"equity42",1,1,6.41120,0.00002,7.411
"Territorybased",1,1,6.41120,0.00002,7.411
"factors45",1,1,6.41120,0.00002,7.411
"fctore",1,1,6.41120,0.00002,7.411
"finance30",1,1,6.41120,0.00002,7.411
"type75",1,1,6.41120,0.00002,7.411
"Industryc",1,1,6.41120,0.00002,7.411
"higheremitting",1,1,6.41120,0.00002,7.411
"institutionc",1,1,6.41120,0.00002,7.411
"instruments23",1,1,6.41120,0.00002,7.411
"project46",1,1,6.41120,0.00002,7.411
"revenue46",1,1,6.41120,0.00002,7.411
"Alliance18",1,1,6.41120,0.00002,7.411
"threshold57",1,1,6.41120,0.00002,7.411
"class200",1,1,6.41120,0.00002,7.411
"notes28",1,1,6.41120,0.00002,7.411
"Protocol93",1,1,6.41120,0.00002,7.411
"equity75",1,1,6.41120,0.00002,7.411
"loans29",1,1,6.41120,0.00002,7.411
"consumptionp",1,1,6.41120,0.00002,7.411
"assetlevel",1,1,6.41120,0.00002,7.411
"debt45",1,1,6.41120,0.00002,7.411
"party-auditor",1,1,6.41120,0.00002,7.411
"factors54",1,1,6.41120,0.00002,7.411
"Unverfied",1,1,6.41120,0.00002,7.411
"sharesc",1,1,6.41120,0.00002,7.411
"values35",1,2,6.41120,0.00003,7.411
"Efficiencya",1,2,6.41120,0.00003,7.411
"Efficiencyt",1,2,6.41120,0.00003,7.411
"emissionsi",1,2,6.41120,0.00003,7.411
"reverse-sequentially",1,2,6.41120,0.00003,7.411
"sustainabilitylinked",1,2,6.41120,0.00003,7.411
"revenuei",1,2,6.41120,0.00003,7.411
"Premiumn",1,2,6.41120,0.00003,7.411
"climatechange.gov",1,2,6.41120,0.00003,7.411
"Subsovereign",1,2,6.41120,0.00003,7.411
"consumptionv",1,2,6.41120,0.00003,7.411
"Grid-supplied",1,2,6.41120,0.00003,7.411
"Standard21",1,2,6.41120,0.00003,7.411
"Property-Backed",1,2,6.41120,0.00003,7.411
"Sectorspecific",1,3,6.41120,0.00005,7.411
"financed-emission",1,3,6.41120,0.00005,7.411
"Other",5,213118,32.05601,3.46049,7.411
"CLIMATE-FRIENDLY",1,3,6.41120,0.00005,7.411
"company14",1,3,6.41120,0.00005,7.411
"policies49",1,3,6.41120,0.00005,7.411
"tranche-level",1,4,6.41120,0.00006,7.411
"emissions",1,4,6.41120,0.00006,7.411
"activity34",1,4,6.41120,0.00006,7.411
"premiumi",1,4,6.41120,0.00006,7.411
"sectorlevel",1,4,6.41120,0.00006,7.411
"Industry3",1,5,6.41120,0.00008,7.411
"intensitybased",1,5,6.41120,0.00008,7.411
"framework15",1,6,6.41120,0.00010,7.410
"Standard7",1,6,6.41120,0.00010,7.410
"Re-REMIC",1,6,6.41120,0.00010,7.410
"emissions10",1,6,6.41120,0.00010,7.410
"Deali",1,7,6.41120,0.00011,7.410
"Vaitkevich",1,7,6.41120,0.00011,7.410
"vehicle-associated",1,7,6.41120,0.00011,7.410
"pre-securitization",1,7,6.41120,0.00011,7.410
"Multi-lines",1,8,6.41120,0.00013,7.410
"risk-carrier",1,8,6.41120,0.00013,7.410
"Sector-agnostic",1,8,6.41120,0.00013,7.410
"CLIMATE-RELATED",1,8,6.41120,0.00013,7.410
"IAEs",1,8,6.41120,0.00013,7.410
"only26",1,9,6.41120,0.00015,7.410
"splitting-out",1,9,6.41120,0.00015,7.410
"web-scrapping",1,9,6.41120,0.00015,7.410
"above28",1,9,6.41120,0.00015,7.410
"energt",1,9,6.41120,0.00015,7.410
"loans6",1,10,6.41120,0.00016,7.410
"subsidiary-specific",1,11,6.41120,0.00018,7.410
"industryled",1,11,6.41120,0.00018,7.410
"emissions-sensitive",1,12,6.41120,0.00019,7.410
"Over-collateralization",1,13,6.41120,0.00021,7.410
"Climaterelated",1,13,6.41120,0.00021,7.410
"underwriting-related",1,14,6.41120,0.00023,7.410
"secretariat",6,266456,38.46721,4.32657,7.410
"Carrier-specific",1,16,6.41120,0.00026,7.409
"notes5",1,16,6.41120,0.00026,7.409
"per-risk",1,17,6.41120,0.00028,7.409
"premium1",1,17,6.41120,0.00028,7.409
"premiumn",1,18,6.41120,0.00029,7.409
"Premium1",1,19,6.41120,0.00031,7.409
"contractor-controlled",1,21,6.41120,0.00034,7.409
"Premium2",1,21,6.41120,0.00034,7.409
"spend-based",1,21,6.41120,0.00034,7.409
"untranched",1,22,6.41120,0.00036,7.409
"re-lever",1,25,6.41120,0.00041,7.408
"re-levered",1,25,6.41120,0.00041,7.408
"forward-settling",1,26,6.41120,0.00042,7.408
"Non-minimal",1,26,6.41120,0.00042,7.408
"Atribution",1,27,6.41120,0.00044,7.408
"Kommuner",1,27,6.41120,0.00044,7.408
"de-consolidated",1,28,6.41120,0.00045,7.408
"assetbacked",1,32,6.41120,0.00052,7.407
"carinsurance.com",1,32,6.41120,0.00052,7.407
"single-risk",1,33,6.41120,0.00054,7.407
"Jurisdiction-specific",1,34,6.41120,0.00055,7.407
"revenuegenerating",1,35,6.41120,0.00057,7.407
"ktCO2",1,36,6.41120,0.00058,7.407
"projectspecific",1,36,6.41120,0.00058,7.407
"mortgageback",1,38,6.41120,0.00062,7.407
"feebased",1,39,6.41120,0.00063,7.407
"subsidiary-level",1,41,6.41120,0.00067,7.406
"Climate-Aligned",1,42,6.41120,0.00068,7.406
"To-Be-Announced",1,46,6.41120,0.00075,7.406
"Pooli",1,47,6.41120,0.00076,7.406
"Emision",1,48,6.41120,0.00078,7.405
"abs.gov",1,52,6.41120,0.00084,7.405
"score8",1,53,6.41120,0.00086,7.405
"treaty-like",1,57,6.41120,0.00093,7.404
"missalignment",1,66,6.41120,0.00107,7.403
"pass-down",1,67,6.41120,0.00109,7.403
"nonbiogenic",1,69,6.41120,0.00112,7.403
"decision-usefulness",1,69,6.41120,0.00112,7.403
"proceeds",1,72,6.41120,0.00117,7.403
"subportfolio",1,73,6.41120,0.00119,7.402
"insurance.com",1,76,6.41120,0.00123,7.402
"climaterelated",1,88,6.41120,0.00143,7.401
"treaty-level",1,91,6.41120,0.00148,7.400
"territorial-based",1,99,6.41120,0.00161,7.399
"pool-level",1,99,6.41120,0.00161,7.399
"cument",1,104,6.41120,0.00169,7.399
"peerto-peer",1,111,6.41120,0.00180,7.398
"over-allocating",1,112,6.41120,0.00182,7.398
"higher-emission",1,115,6.41120,0.00187,7.397
"supply-use",1,121,6.41120,0.00196,7.397
"non-biogenic",1,133,6.41120,0.00216,7.395
"close-end",1,135,6.41120,0.00219,7.395
"unfccc",1,136,6.41120,0.00221,7.395
"nonlisted",1,138,6.41120,0.00224,7.395
"www.eia.gov",1,141,6.41120,0.00229,7.394
"owner-controlled",1,144,6.41120,0.00234,7.394
"OJE",1,146,6.41120,0.00237,7.394
"marketbased",1,148,6.41120,0.00240,7.393
"own-damage",1,149,6.41120,0.00242,7.393
"Dual-fuel",1,153,6.41120,0.00248,7.393
"use-of-proceed",1,153,6.41120,0.00248,7.393
"higher-emitting",1,156,6.41120,0.00253,7.392
"offbalance",1,158,6.41120,0.00257,7.392
"follow-the-money",1,159,6.41120,0.00258,7.392
"www.fueleconomy.gov",1,166,6.41120,0.00270,7.391
"emission-based",1,167,6.41120,0.00271,7.391
"Power-driven",1,168,6.41120,0.00273,7.391
"define",123,6517889,788.57782,105.83395,7.391
"statcan",1,182,6.41120,0.00296,7.389
"LUCF",1,184,6.41120,0.00299,7.389
"MTPL",1,189,6.41120,0.00307,7.389
"balancesheet",1,190,6.41120,0.00309,7.388
"data-intense",1,194,6.41120,0.00315,7.388
"megawatthour",1,197,6.41120,0.00320,7.388
"energy-specific",1,209,6.41120,0.00339,7.386
"treaty-related",1,210,6.41120,0.00341,7.386
"real-economy",1,222,6.41120,0.00360,7.385
"expenditure-based",1,226,6.41120,0.00367,7.384
"corporate-type",1,229,6.41120,0.00372,7.384
"netzero",1,229,6.41120,0.00372,7.384
"Non-Annex",1,237,6.41120,0.00385,7.383
"dioxide-equivalent",1,239,6.41120,0.00388,7.383
"ESTI",1,239,6.41120,0.00388,7.383
"Holder",4,160807,25.64481,2.61110,7.379
"NZBA",1,275,6.41120,0.00447,7.378
"Ring-fencing",1,293,6.41120,0.00476,7.376
"cradle-to-gate",1,314,6.41120,0.00510,7.374
"pre-issuance",1,324,6.41120,0.00526,7.372
"climate",102,5410388,653.94257,87.85094,7.371
"kton",1,335,6.41120,0.00544,7.371
"www.epa.gov",1,342,6.41120,0.00555,7.370
"datadriven",1,362,6.41120,0.00588,7.368
"WGIII",1,381,6.41120,0.00619,7.366
"nonexhaustive",1,403,6.41120,0.00654,7.363
"recategorization",1,423,6.41120,0.00687,7.361
"iLibrary",1,448,6.41120,0.00727,7.358
"multi-peril",1,458,6.41120,0.00744,7.356
"overallocation",1,465,6.41120,0.00755,7.356
"annualization",1,480,6.41120,0.00779,7.354
"derecognized",1,489,6.41120,0.00794,7.353
"specificity",5,215298,32.05601,3.49589,7.352
"dommage",1,496,6.41120,0.00805,7.352
"Light-duty",1,518,6.41120,0.00841,7.349
"portfolio-level",1,547,6.41120,0.00888,7.346
"Pexel",1,553,6.41120,0.00898,7.345
"NUTS2",1,554,6.41120,0.00900,7.345
"ANGA",1,555,6.41120,0.00901,7.345
"Quadricycle",1,576,6.41120,0.00935,7.343
"subclassified",1,594,6.41120,0.00965,7.340
"DOU",1,595,6.41120,0.00966,7.340
"MtCO2",1,596,6.41120,0.00968,7.340
"cash-like",1,601,6.41120,0.00976,7.340
"Task",12,592658,76.93442,9.62326,7.336
"indicator-based",1,633,6.41120,0.01028,7.336
"Hels",1,635,6.41120,0.01031,7.336
"OCIP",1,638,6.41120,0.01036,7.335
"Disaggregating",1,639,6.41120,0.01038,7.335
"over-allocated",1,643,6.41120,0.01044,7.335
"kWh",1,683,6.41120,0.01109,7.330
"private-use",1,686,6.41120,0.01114,7.330
"Footprinting",1,697,6.41120,0.01132,7.328
"financial-sector",1,702,6.41120,0.01140,7.328
"hard-to-abate",1,718,6.41120,0.01166,7.326
"www.census.gov",1,767,6.41120,0.01245,7.320
"CDSB",1,820,6.41120,0.01331,7.314
"loan-level",1,928,6.41120,0.01507,7.301
"sub-limit",1,948,6.41120,0.01539,7.299
"caveated",1,997,6.41120,0.01619,7.293
"new-built",1,1003,6.41120,0.01629,7.292
"non-auto",1,1016,6.41120,0.01650,7.291
"t_0",1,1027,6.41120,0.01668,7.290
"UNFCC",1,1042,6.41120,0.01692,7.288
"Activity-based",1,1067,6.41120,0.01733,7.285
"target-setting",1,1093,6.41120,0.01775,7.282
"multiregional",1,1144,6.41120,0.01858,7.276
"Rank",4,163942,25.64481,2.66200,7.276
"Mortgage-Backed",1,1148,6.41120,0.01864,7.276
"price-level",1,1159,6.41120,0.01882,7.274
"First-party",1,1168,6.41120,0.01897,7.273
"reseau",1,1171,6.41120,0.01901,7.273
"paydown",1,1172,6.41120,0.01903,7.273
"power-generate",1,1195,6.41120,0.01940,7.270
"NGFS",1,1206,6.41120,0.01958,7.269
"approximative",1,1215,6.41120,0.01973,7.268
"Essonne",1,1237,6.41120,0.02009,7.265
"high-emission",1,1267,6.41120,0.02057,7.262
"t_1",1,1279,6.41120,0.02077,7.260
"AuM",1,1353,6.41120,0.02197,7.252
"collateralization",1,1366,6.41120,0.02218,7.250
"subtract",5,219696,32.05601,3.56730,7.238
"Dealogic",1,1538,6.41120,0.02497,7.231
"CCIP",1,1540,6.41120,0.02501,7.230
"HELOCs",1,1588,6.41120,0.02579,7.225
"COAs",1,1622,6.41120,0.02634,7.221
"fossil",18,931342,115.40163,15.12263,7.220
"per-project",1,1660,6.41120,0.02695,7.217
"non-compulsory",1,1709,6.41120,0.02775,7.211
"earnings",17,878312,108.99043,14.26155,7.207
"territory",40,2139738,256.44806,34.74390,7.203
"FR",3,111477,19.23360,1.81010,7.200
"D35",1,1889,6.41120,0.03067,7.191
"year-on-year",3,111788,19.23360,1.81515,7.187
"lowest-rated",1,1982,6.41120,0.03218,7.180
"multi-regional",1,1992,6.41120,0.03235,7.179
"predominately",2,57014,12.82240,0.92576,7.178
"EPC",3,112124,19.23360,1.82061,7.173
"ouvrage",1,2063,6.41120,0.03350,7.171
"efficiency",49,2648915,314.14890,43.01165,7.161
"pe",7,333129,44.87841,5.40917,7.158
"Cycle",6,278044,38.46721,4.51473,7.157
"investment-related",1,2207,6.41120,0.03584,7.155
"CRE",1,2239,6.41120,0.03636,7.151
"End-of-life",1,2282,6.41120,0.03705,7.146
"disaggregating",1,2318,6.41120,0.03764,7.142
"non-homogeneous",1,2333,6.41120,0.03788,7.141
"Lloyds",2,57710,12.82240,0.93706,7.136
"oustanding",1,2448,6.41120,0.03975,7.128
"Nataliya",1,2474,6.41120,0.04017,7.125
"CUSIP",1,2490,6.41120,0.04043,7.123
"insurance-related",1,2622,6.41120,0.04257,7.109
"Ing",2,58214,12.82240,0.94525,7.106
"hotspot",5,225016,32.05601,3.65369,7.103
"ovum",2,58442,12.82240,0.94895,7.092
"standardize",3,114129,19.23360,1.85316,7.092
"re-allocated",1,2857,6.41120,0.04639,7.083
"insourcing",1,2920,6.41120,0.04741,7.076
"org",4,170542,25.64481,2.76917,7.069
"class-specific",1,3041,6.41120,0.04938,7.062
"Europa",4,170793,25.64481,2.77324,7.062
"volume-based",1,3054,6.41120,0.04959,7.061
"avoid",122,6773605,782.16663,109.98612,7.056
"broad-based",2,59088,12.82240,0.95944,7.054
"sum",35,1906961,224.39206,30.96420,7.051
"industrywide",1,3232,6.41120,0.05248,7.042
"earth-moving",1,3262,6.41120,0.05297,7.038
"lend",17,903197,108.99043,14.66562,7.021
"data-informed",1,3463,6.41120,0.05623,7.017
"commitment",58,3211860,371.84970,52.15244,7.015
"Railcar",1,3535,6.41120,0.05740,7.009
"Tool",9,454312,57.70081,7.37687,7.007
"yearend",1,3654,6.41120,0.05933,6.996
"KPIs",2,60213,12.82240,0.97771,6.989
"sequoia",2,60213,12.82240,0.97771,6.989
"deviation",8,399548,51.28961,6.48764,6.983
"phased-in",1,3816,6.41120,0.06196,6.979
"OLI",1,3845,6.41120,0.06243,6.976
"commensurately",1,3867,6.41120,0.06279,6.973
"furnace",6,287130,38.46721,4.66226,6.970
"intuitiveness",1,3919,6.41120,0.06363,6.968
"Ile-de-France",1,3937,6.41120,0.06393,6.966
"specified",12,627919,76.93442,10.19581,6.961
"dual-fuel",1,3992,6.41120,0.06482,6.960
"self-reported",2,60970,12.82240,0.99000,6.946
"government-supported",1,4224,6.41120,0.06859,6.936
"principal",43,2399534,275.68167,38.96233,6.924
"physical",114,6458942,730.87701,104.87679,6.913
"balance-sheet",1,4505,6.41120,0.07315,6.906
"post-closing",1,4522,6.41120,0.07343,6.904
"WIR",1,4527,6.41120,0.07351,6.904
"credit",134,7618624,859.10101,123.70708,6.897
"collateralize",1,4623,6.41120,0.07507,6.894
"reflect",85,4833040,544.95215,78.47628,6.869
"jurisdiction",25,1385112,160.28004,22.49070,6.866
"broker",14,756990,89.75682,12.29159,6.828
"underwritten",1,5274,6.41120,0.08564,6.827
"public-service",1,5276,6.41120,0.08567,6.826
"typology",2,63269,12.82240,1.02733,6.818
"Isin",1,5468,6.41120,0.08879,6.807
"PW",2,63542,12.82240,1.03176,6.803
"compulsory",6,295747,38.46721,4.80218,6.802
"Justine",2,63643,12.82240,1.03340,6.798
"economic",129,7441563,827.04498,120.83206,6.797
"materiality",2,63709,12.82240,1.03447,6.794
"income-producing",1,5630,6.41120,0.09142,6.790
"non-interest",1,5673,6.41120,0.09212,6.786
"typically",56,3213644,359.02728,52.18141,6.770
"peril",5,239511,32.05601,3.88905,6.761
"Robustness",1,6030,6.41120,0.09791,6.750
"extraneous",2,64626,12.82240,1.04936,6.745
"consolidation",8,415873,51.28961,6.75272,6.745
"Olena",1,6120,6.41120,0.09937,6.741
"step-change",1,6167,6.41120,0.10014,6.737
"brokerage",4,182020,25.64481,2.95554,6.736
"LVR",1,6233,6.41120,0.10121,6.730
"whereby",9,476800,57.70081,7.74202,6.715
"non-operational",1,6461,6.41120,0.10491,6.708
"latent",4,183071,25.64481,2.97261,6.707
"IFC",2,65372,12.82240,1.06148,6.705
